Artikel	Beskrivning	"Vikt netto"	Plockplats	Plocksaldo	Kundorder	Diff	Buffertsaldo	"Saldo automation"	"Automation diff"	"Saldo kran"	"Kran diff"	"Saldo autoplock"	"Autoplock diff"	Utbeställt	Inlagring	Ankommande	"Pågående plock"	"För och under plock"	Saldo	Diff2	Externt	Lager	Bolag	Batchartikel	Klassificering	Robot
1018861	"FODERSKOPA PLAST VIT 1 L"	"0,13"		0	0	0	0	588	588	0	0	588	588	0	0	0	0	0	588	588	0	404	GG	N	H	Y
1018869	"FODERSKOPA PLAST BLÅ 3 L"	"0,23"		0	0	0	0	108	108	0	0	108	108	0	0	360	0	0	108	108	0	404	GG	N	H	Y
1018887	"KALVHINK BLÅ 7 L<"	"0,45"		0	0	0	0	0	0	0	0	0	0	0	0	720	0	0	0	0	0	404	GG	N	H	N
1018894	"SLICKSTENSHÅLLARE PLAST 2 KG"	"0,1"		0	10	-10	0	448	438	0	-10	448	438	0	0	0	0	0	448	438	0	404	GG	N	H	Y
1018895	"SLICKSTENSHÅLLARE PLAST 10KG"	"0,69"		0	13	-13	210	290	277	210	197	80	67	0	0	420	0	0	290	277	0	404	GG	N	H	Y
1018897	"SLICKSTENSHÅLLARE 2KG ROSTFRI"	"0,43"		0	10	-10	0	45	35	0	-10	45	35	0	0	0	0	0	45	35	0	404	GG	N	H	Y
1018898	"SLICKSTENSHÅLLARE GRÖN 2KG BOX"	"0,35"		0	4	-4	150	180	176	150	146	30	26	0	0	0	0	0	180	176	0	404	GG	N	H	Y
1018933	"FÅRSAX HANDMODELL 290MM"	"0,29"		0	2	-2	0	115	113	0	-2	115	113	0	0	0	0	0	115	113	0	404	GG	N	H	Y
1018937	"RESERVNAPP TILL NAPPFLASKA 1079340 2ST"	"0,04"		0	6	-6	0	235	229	0	-6	235	229	0	0	200	0	0	235	229	0	404	GG	N	H	Y
1018938	"RESERVNAPP LAMMBAR 1018956 5 ST"	"0,25"		0	2	-2	0	83	81	0	-2	83	81	0	0	0	0	0	83	81	0	404	GG	N	H	Y
1018939	"FÄRGPLATTA BLÅ"	"0,19"		0	0	0	0	28	28	0	0	28	28	0	0	0	0	0	28	28	0	404	GG	N	H	Y
1018940	"FÄRGPLATTA GRÖN"	"0,19"		0	0	0	0	23	23	0	0	23	23	0	0	0	0	0	23	23	0	404	GG	N	H	Y
1018941	"FÄRGPLATTA RÖD"	"0,19"		0	0	0	0	47	47	0	0	47	47	0	0	0	0	0	47	47	0	404	GG	N	H	Y
1018946	"FÅRGRIMMA BAGGE NYLON M STÄLLBARA REMMAR"	"0,16"		0	2	-2	0	132	130	0	-2	132	130	0	0	0	0	0	132	130	0	404	GG	N	H	Y
1018947	"HALSREM FÅR NYLON MED RING FÖR BJÄLLRA"	"0,08"		0	6	-6	0	408	402	0	-6	408	402	0	0	0	0	0	408	402	0	404	GG	N	H	Y
