Pallid	Status	Ordernr	Yta	Kund	Kund	Antal	Artikel	Beskrivning	Packklass	Ändrad	Användare	Kö	Prioritet	Lagerplats	Zon	Bolag	Lager	Batch	Sändningsnr	Utgångsdatum	"Pågående Plock"	"Plockplats Diff"	SSCC	Avgång	Krangång
712750	30	323501	UTL213/UTL214/UTL215/UTL216/UTL217	656	"XL-BYGG Norrby Trä"	48	200099601	"FLYTSPACKEL SL C700 FIBER QUICK+ 20KG"		"2026-03-17 06:38:09"	OrderGenerator	3	5	LA31023	A	MG	JKP		MG-JKP-260317-1756134-0	2026-08-29	0	22	273500916307127506		
712528	30	323501	UTL213/UTL214/UTL215/UTL216/UTL217	656	"XL-BYGG Norrby Trä"	48	200099601	"FLYTSPACKEL SL C700 FIBER QUICK+ 20KG"		"2026-03-17 06:38:09"	OrderGenerator	3	5	LA30023	Y	MG	JKP		MG-JKP-260317-1756134-0	2026-08-29	0	22	273500916307125281		
712530	30	323501	UTL213/UTL214/UTL215/UTL216/UTL217	656	"XL-BYGG Norrby Trä"	48	200099601	"FLYTSPACKEL SL C700 FIBER QUICK+ 20KG"		"2026-03-17 06:38:09"	OrderGenerator	3	5	LA29033	Y	MG	JKP		MG-JKP-260317-1756134-0	2026-08-29	0	22	273500916307125304		
696932	30	324435	UTL291	484429	"Colorama Motala"	71	200001023	"CEMENTFIX TILE ADHESIVE 8010 COMBI 15KG"		"2026-03-17 06:38:19"	OrderGenerator	3	5	LA24015	Y	MG	JKP		MG-JKP-260317-1758672-0		0	13	273500916306969329		
712533	30	323331	UTL291	484429	"Colorama Motala"	42	200097628	"CEMENTFIX TILE ADHESIVE 8070 LIGHT LT 15KG"		"2026-03-17 06:38:19"	OrderGenerator	3	5	LA20023	Y	MG	JKP		MG-JKP-260317-1758672-0	2027-02-16	0	42	273500916307125335		
702898	30	322758	UTL253	484667	"Colorama Mellerud"	48	200097355	"FLYTSPACKEL SL C900 INDUSTRY HEAVY 20KG"		"2026-03-16 13:13:12"	OrderGenerator	3	5	LA14033	Y	MG	JKP		MG-JKP-260317-1759000-0	2026-03-21	0	13	273500916307028988		
417031	30	TO100036740		201	"Granngården Umeå"	1	1267230	"GRÄSKLIPPARE 48V MULTICLIP 547 AE KIT"	0	"2026-03-17 06:38:28"	OrderGenerator	33	5	HBW0040360801	H	GG	404		GG-404-260317-1703632-0		0	0	273500916304170314		3002
416665	30	TO100036620		209	"Granngården Luleå"	1	1267230	"GRÄSKLIPPARE 48V MULTICLIP 547 AE KIT"	0	"2026-03-17 06:38:23"	CraneService	33	5	HBW0010330802	H	GG	404		GG-404-260317-1703625-0		0	0	273500916304166652		3001
416665	30	TO100036620		209	"Granngården Luleå"	1	1267230	"GRÄSKLIPPARE 48V MULTICLIP 547 AE KIT"	0	"2026-03-17 06:38:23"	CraneService	33	5	HBW0010330802	H	GG	404		GG-404-260317-1703625-0		0	0	273500916304166652		3001
705449	30	TO100036641	UTL52A/UTL53/UTL54A	216	"Granngården Karlstad"	45	2002396390888	"STÄNGSELSTOLPE RUND Ø7 175 CM -"	0	"2026-03-17 06:37:58"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1702003-0		0	0	273500916307054499		
705357	30	TO100036641	UTL52A/UTL53/UTL54A	216	"Granngården Karlstad"	45	2002395772888	"STÄNGSELSTOLPE RUND Ø5 150 CM -"	0	"2026-03-17 06:37:58"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1702003-0		0	0	273500916307053577		
712973	30	TO100036600		367	"Granngården Motala"	1	1263211	"TRAKTOR TORNADO 398 M"	0	"2026-03-17 06:38:01"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1701981-0		0	-1	273500916307129739		
714536	30	TO100036598		282	"Granngården Karlshamn"	1	1263211	"TRAKTOR TORNADO 398 M"	0	"2026-03-17 06:38:03"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1701987-0		0	-1	273500916307145364		
714537	30	TO100036580	UTL32A/UTL33A/UTL34A	272	"Granngården Varberg"	1	1263211	"TRAKTOR TORNADO 398 M"	0	"2026-03-17 06:38:05"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1701988-0		0	-1	273500916307145371		
714538	30	TO100036580	UTL32A/UTL33A/UTL34A	272	"Granngården Varberg"	1	1263211	"TRAKTOR TORNADO 398 M"	0	"2026-03-17 06:38:05"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1701988-0		0	-1	273500916307145388		
714542	30	TO100036531	UTL35A/UTL36A	275	"Granngården Falkenberg"	1	1263211	"TRAKTOR TORNADO 398 M"	0	"2026-03-17 06:38:06"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1701977-0		0	-1	273500916307145425		
705450	30	TO100036577	UTL37A/UTL38A	193	"Granngården Kristianstad"	45	2002396390888	"STÄNGSELSTOLPE RUND Ø7 175 CM -"	0	"2026-03-17 06:38:07"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1702002-0		0	0	273500916307054505		
705451	30	TO100036627		232	"Granngården Askersund"	45	2002396390888	"STÄNGSELSTOLPE RUND Ø7 175 CM -"	0	"2026-03-17 06:38:20"	OrderGenerator	3	5	ELTAK	H	GG	404		GG-404-260316-1702004-0		0	0	273500916307054512		
